First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Pascal,Arimont,female,44.0,Belgium,EPP,AGAINST,Christlich Soziale Partei
Hugues,Bayet,female,43.0,Belgium,S&D,FOR,Parti Socialiste
Ivo,Belet,female,59.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Louis,Michel,female,71.0,Belgium,ALDE,FOR,Mouvement Réformateur
Frédérique,Ries,female,59.0,Belgium,ALDE,FOR,Mouvement Réformateur
Helga,Stevens,female,50.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Marc,Tarabella,female,56.0,Belgium,S&D,FOR,Parti Socialiste
Guy,Verhofstadt,female,65.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Ilhan,Kyuchyuk,female,33.0,Bulgaria,ALDE,AGAINST,Movement for Rights and Freedoms
Iskra,Mihaylova,female,61.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Andrey,Novakov,female,30.0,Bulgaria,EPP,FOR - CORRECTED,Citizens for European Development of Bulgaria
Georgi,Pirinski,female,70.0,Bulgaria,S&D,FOR,Bulgarian Socialist Party
Sergei,Stanishev,female,52.0,Bulgaria,S&D,AGAINST - CORRECTED,Bulgarian Socialist Party
Biljana,Borzan,female,47.0,Croatia,S&D,AGAINST - CORRECTED,Socijaldemokratska partija Hrvatske
Jozo,Radoš,female,62.0,Croatia,ALDE,AGAINST,Građansko Liberalni Savez
Željana,Zovko,female,49.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Lefteris,Christoforou,female,55.0,Cyprus,EPP,NOT PRESENT,Democratic Rally
Martina,Dlabajová,female,42.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Jan,Keller,female,64.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Jaromír,Kohlíček,female,66.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Jiří,Payne,female,62.0,Czech Republic,EFDD,AGAINST,Strana svobodných občanů
Miroslav,Poche,female,40.0,Czech Republic,S&D,ABSTAINED,Česká strana sociálně demokratická
Stanislav,Polčák,female,39.0,Czech Republic,EPP,ABSTAINED,Starostové a nezávisli
Pavel,Telička,female,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Evžen,Tošenovský,female,63.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jan,Zahradil,female,56.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Ole,Christensen,female,63.0,Denmark,S&D,FOR,Socialdemokratiet
Jens,Rohde,female,48.0,Denmark,ALDE,FOR,Det Radikale Venstre
Christel,Schaldemose,female,51.0,Denmark,S&D,FOR,Socialdemokratiet
Yana,Toom,female,52.0,Estonia,ALDE,AGAINST,Eesti Keskerakond
Anneli,Jäätteenmäki,female,64.0,Finland,ALDE,FOR,Suomen Keskusta
Elsi,Katainen,female,52.0,Finland,ALDE,FOR,Suomen Keskusta
Nils,Torvalds,female,73.0,Finland,ALDE,AGAINST,Svenska folkpartiet
Guillaume,Balas,female,46.0,France,S&D,FOR,Parti socialiste
Pervenche,Berès,female,62.0,France,S&D,FOR,Parti socialiste
Joëlle,Bergeron,female,69.0,France,EFDD,FOR,Sans étiquette
Dominique,Bilde,female,65.0,France,ENF,FOR,Rassemblement national
Marie-Christine,Boutonnet,female,70.0,France,ENF,FOR,Rassemblement national
José,Bové,female,65.0,France,Greens-EFA,FOR,Europe écologie
Steeve,Briois,female,46.0,France,ENF,FOR,Rassemblement national
Alain,Cadec,female,65.0,France,EPP,FOR,Les Républicains
Jean-Marie,Cavada,female,79.0,France,ALDE,FOR,Generation Citoyens
Thierry,Cornillet,female,67.0,France,ALDE,FOR,Parti Radical
Arnaud,Danjean,female,48.0,France,EPP,FOR,Les Républicains
Michel,Dantin,female,59.0,France,EPP,FOR,Les Républicains
Angélique,Delahaye,female,56.0,France,EPP,FOR,Les Républicains
Pascal,Durand,female,58.0,France,Greens-EFA,NOT PRESENT,Europe écologie
Karine,Gloanec Maurin,female,61.0,France,S&D,FOR,Parti socialiste
Sylvie,Goddyn,female,54.0,France,EFDD,FOR,Rassemblement national
Bruno,Gollnisch,female,69.0,France,Non-attached,FOR,Rassemblement national
Philippe,Juvin,female,55.0,France,EPP,FOR,Les Républicains
Patricia,Lalonde,female,66.0,France,ALDE,FOR,Union des Démocrates et Indépendants
Alain,Lamassoure,female,75.0,France,EPP,FOR,Les Républicains
Patrick,Le Hyaric,female,62.0,France,GUE-NGL,FOR,Front de Gauche
Gilles,Lebreton,female,60.0,France,ENF,FOR,Rassemblement national/ Rassemblement Bleu Marine
Christelle,Lechevalier,female,50.0,France,ENF,FOR,Rassemblement national
Louis-Joseph,Manscour,female,74.0,France,S&D,FOR,Parti socialiste
Dominique,Martin,female,57.0,France,ENF,FOR,Rassemblement national
Edouard,Martin,female,55.0,France,S&D,FOR,Parti socialiste
Sophie,Montel,female,49.0,France,Non-attached,FOR,Rassemblement national
Nadine,Morano,female,55.0,France,EPP,FOR,Les Républicains
Younous,Omarjee,female,49.0,France,GUE-NGL,AGAINST,L'union pour les Outremer
Christine,Revault D'Allonnes Bonnefoy,female,47.0,France,S&D,FOR,Parti socialiste
Anne,Sander,female,45.0,France,EPP,FOR,Les Républicains
Isabelle,Thomas,female,57.0,France,S&D,FOR,Parti socialiste
Mylène,Troszczynski,female,46.0,France,ENF,FOR,Rassemblement national
Marie-Christine,Vergiat,female,62.0,France,GUE-NGL,AGAINST,Front de Gauche
Birgit,Collin-Langen,female,62.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Albert,Dess,female,71.0,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Stefan,Eck,female,63.0,Germany,GUE-NGL,AGAINST,Independent
Christian,Ehler,female,55.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Cornelia,Ernst,female,62.0,Germany,GUE-NGL,AGAINST,DIE LINKE.
Markus,Ferber,female,54.0,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Knut,Fleckenstein,female,65.0,Germany,S&D,ABSTAINED,Sozialdemokratische Partei Deutschlands
Karl-Heinz,Florenz,female,71.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Romeo,Franz,female,52.0,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Jens,Gieseke,female,47.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Maria,Heubuch,female,60.0,Germany,Greens-EFA,FOR,Bündnis 90/Die Grünen
